,name,states,transitions,encoding,sense,time,reachability_value,importance_value,start_state,via_state,target_state,timeout,status
0,out/models/model_epidemic7_model-it_0.pickle,962,5644,QP,1,0.0713191032409668,0.9999999999999999,0.0,q0: start,"(7, 1, 7)",positive,3600,2
1,out/models/model_epidemic7_model-it_0.pickle,962,5644,LP,1,0.00557398796081543,1.0,0.0,q0: start,"(7, 1, 7)",positive,3600,2
0,out/models/model_epidemic7_model-it_0.pickle,962,5644,QP,1,0.07402801513671875,0.9999999999999999,0.0,q0: start,"(7, 1, 3)",positive,3600,2
1,out/models/model_epidemic7_model-it_0.pickle,962,5644,LP,1,0.005221128463745117,1.0,0.0,q0: start,"(7, 1, 3)",positive,3600,2
0,out/models/model_epidemic7_model-it_0.pickle,962,5644,QP,1,0.06892704963684082,0.9999999999999999,0.0,q0: start,"(7, 1, 6)",positive,3600,2
1,out/models/model_epidemic7_model-it_0.pickle,962,5644,LP,1,0.0055310726165771484,1.0,0.0,q0: start,"(7, 1, 6)",positive,3600,2
0,out/models/model_epidemic7_model-it_0.pickle,962,5644,QP,-1,0.01549386978149414,0.9999999999999999,0.0,q0: start,"(7, 1, 0)",positive,3600,2
1,out/models/model_epidemic7_model-it_0.pickle,962,5644,LP,-1,0.007023811340332031,1.0,0.0,q0: start,"(7, 1, 0)",positive,3600,2
0,out/models/model_epidemic7_model-it_0.pickle,962,5644,QP,-1,0.015066862106323242,0.9999999999999999,0.0,q0: start,"(7, 1, 5)",positive,3600,2
1,out/models/model_epidemic7_model-it_0.pickle,962,5644,LP,-1,0.006414890289306641,1.0,0.0,q0: start,"(7, 1, 5)",positive,3600,2
0,out/models/model_epidemic7_model-it_0.pickle,962,5644,QP,-1,0.014750957489013672,0.9999999999999999,0.0,q0: start,"(7, 1, 6)",positive,3600,2
1,out/models/model_epidemic7_model-it_0.pickle,962,5644,LP,-1,0.006757020950317383,1.0,0.0,q0: start,"(7, 1, 6)",positive,3600,2
0,out/models/model_epidemic7_model-it_0.pickle,962,5644,QP,-1,0.016585826873779297,0.9999999999999999,0.0,q0: start,"(7, 1, 3)",positive,3600,2
1,out/models/model_epidemic7_model-it_0.pickle,962,5644,LP,-1,0.007794857025146484,1.0,0.0,q0: start,"(7, 1, 3)",positive,3600,2
0,out/models/model_epidemic7_model-it_0.pickle,962,5644,QP,-1,0.01729583740234375,0.9999999999999999,0.0,q0: start,"(7, 1, 1)",positive,3600,2
1,out/models/model_epidemic7_model-it_0.pickle,962,5644,LP,-1,0.0062808990478515625,1.0,0.0,q0: start,"(7, 1, 1)",positive,3600,2
0,out/models/model_epidemic7_model-it_0.pickle,962,5644,QP,-1,0.020800113677978516,0.9999999999999999,0.0,q0: start,"(7, 1, 7)",positive,3600,2
1,out/models/model_epidemic7_model-it_0.pickle,962,5644,LP,-1,0.006181001663208008,1.0,0.0,q0: start,"(7, 1, 7)",positive,3600,2
0,out/models/model_epidemic7_model-it_0.pickle,962,5644,QP,-1,0.021528005599975586,0.9999999999999999,0.0,q0: start,"(7, 1, 4)",positive,3600,2
1,out/models/model_epidemic7_model-it_0.pickle,962,5644,LP,-1,0.006563901901245117,1.0,0.0,q0: start,"(7, 1, 4)",positive,3600,2
0,out/models/model_epidemic7_model-it_0.pickle,962,5644,QP,-1,0.02762603759765625,0.9999999999999999,0.0,q0: start,"(7, 1, 2)",positive,3600,2
1,out/models/model_epidemic7_model-it_0.pickle,962,5644,LP,-1,0.006228923797607422,1.0,0.0,q0: start,"(7, 1, 2)",positive,3600,2
0,out/models/model_epidemic7_model-it_0.pickle,962,5644,QP,1,0.03055286407470703,0.9999999999999999,0.0,q0: start,"(7, 1, 0)",positive,3600,2
1,out/models/model_epidemic7_model-it_0.pickle,962,5644,LP,1,0.007149934768676758,1.0,0.0,q0: start,"(7, 1, 0)",positive,3600,2
0,out/models/model_epidemic8_model-it_0.pickle,1379,9029,QP,1,0.01656198501586914,1.0,0.0,q0: start,"(8, 1, 2)",positive,3600,2
1,out/models/model_epidemic8_model-it_0.pickle,1379,9029,LP,1,0.004667043685913086,1.0,0.0,q0: start,"(8, 1, 2)",positive,3600,2
0,out/models/model_epidemic7_model-it_0.pickle,962,5644,QP,1,4.282094955444336,1.0,0.0,q0: start,"(7, 1, 10)",positive,3600,2
1,out/models/model_epidemic7_model-it_0.pickle,962,5644,LP,1,0.003901958465576172,1.0,0.0,q0: start,"(7, 1, 10)",positive,3600,2
0,out/models/model_epidemic8_model-it_0.pickle,1379,9029,QP,1,0.018568038940429688,1.0,0.0,q0: start,"(8, 1, 4)",positive,3600,2
1,out/models/model_epidemic8_model-it_0.pickle,1379,9029,LP,1,0.0046041011810302734,1.0,0.0,q0: start,"(8, 1, 4)",positive,3600,2
0,out/models/model_epidemic8_model-it_0.pickle,1379,9029,QP,1,0.015928983688354492,1.0,0.0,q0: start,"(8, 1, 3)",positive,3600,2
1,out/models/model_epidemic8_model-it_0.pickle,1379,9029,LP,1,0.004308938980102539,1.0,0.0,q0: start,"(8, 1, 3)",positive,3600,2
0,out/models/model_epidemic7_model-it_0.pickle,962,5644,QP,1,3.877223014831543,1.0,0.0,q0: start,"(7, 1, 9)",positive,3600,2
1,out/models/model_epidemic7_model-it_0.pickle,962,5644,LP,1,0.003932952880859375,1.0,0.0,q0: start,"(7, 1, 9)",positive,3600,2
0,out/models/model_epidemic8_model-it_0.pickle,1379,9029,QP,1,0.017241954803466797,1.0,0.0,q0: start,"(8, 1, 6)",positive,3600,2
1,out/models/model_epidemic8_model-it_0.pickle,1379,9029,LP,1,0.004818916320800781,1.0,0.0,q0: start,"(8, 1, 6)",positive,3600,2
0,out/models/model_epidemic8_model-it_0.pickle,1379,9029,QP,1,0.015435934066772461,1.0,0.0,q0: start,"(8, 1, 8)",positive,3600,2
1,out/models/model_epidemic8_model-it_0.pickle,1379,9029,LP,1,0.0048220157623291016,1.0,0.0,q0: start,"(8, 1, 8)",positive,3600,2
