,name,states,transitions,encoding,time,lower_reachability_value,lower_importance_value,upper_reachability_value,upper_importance_value,start_state,via_state,target_state,timeout,status
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.049952030181884766,0.81,0.619,0.81,0.619,q0: start,q41: Taskevent5,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.024799108505249023,0.81,0.619,0.81,0.619,q0: start,q41: Taskevent5,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.057660818099975586,0.81,0.619,0.81,0.619,q0: start,q39: customerGivefeedback4,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.02536296844482422,0.81,0.619,0.81,0.619,q0: start,q39: customerGivefeedback4,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.2593882083892822,0.81,0.048,0.81,0.048,q0: start,q63: companyResultsautomaticallyshared,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.0271451473236084,0.81,0.048,0.81,0.048,q0: start,q63: companyResultsautomaticallyshared,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.07723402976989746,0.81,1.0,0.81,1.0,q0: start,q18: customerGivefeedback0,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.025053977966308594,0.81,1.0,0.81,1.0,q0: start,q18: customerGivefeedback0,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.07198190689086914,0.81,1.0,0.81,1.0,q0: start,q29: Taskevent3,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.16745996475219727,0.81,1.0,0.81,1.0,q0: start,q29: Taskevent3,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.06909584999084473,0.81,0.619,0.81,0.619,q0: start,q43: companyTaskevent5,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.023935794830322266,0.81,0.619,0.81,0.619,q0: start,q43: companyTaskevent5,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.07025527954101562,0.81,1.0,0.81,1.0,q0: start,q23: customerGivefeedback1,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.07290267944335938,0.81,1.0,0.81,1.0,q0: start,q23: customerGivefeedback1,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.06952190399169922,0.81,1.0,0.81,1.0,q0: start,q16: customerTaskevent0,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.025475740432739258,0.81,1.0,0.81,1.0,q0: start,q16: customerTaskevent0,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.07077908515930176,0.81,1.0,0.81,1.0,q0: start,q3: vpcAssignInstance,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.02971816062927246,0.81,1.0,0.81,1.0,q0: start,q3: vpcAssignInstance,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.06665825843811035,0.81,1.0,0.81,1.0,q0: start,q14: customerstarted,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.02605295181274414,0.81,1.0,0.81,1.0,q0: start,q14: customerstarted,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.06536984443664551,0.81,0.341,0.81,0.341,q0: start,q57: subjectAcceptanceReceived,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.023309946060180664,0.81,0.341,0.81,0.341,q0: start,q57: subjectAcceptanceReceived,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.06527090072631836,0.81,1.0,0.81,1.0,q0: start,q33: Taskevent4,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.028738975524902344,0.81,1.0,0.81,1.0,q0: start,q33: Taskevent4,q52: positive,36000,2
0,out/models/model_greps_model-it_0.pickle,64,78,quadratic,0.06969809532165527,0.81,1.0,0.81,1.0,q0: start,q22: Givefeedback1,q52: positive,36000,2
1,out/models/model_greps_model-it_0.pickle,64,78,linear,0.02261805534362793,0.81,1.0,0.81,1.0,q0: start,q22: Givefeedback1,q52: positive,36000,2
