,model,query,nesting,value,model_checking_time,model_construction_time,name,timeout
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=3 & ((X( loc=49 & ((X( loc=95 & ((X( loc=99 & ((X( loc=416 & ((X( loc=431 & (X( loc=280 )))))))))))))))))))))))]",8,0.0,0.774,13.575,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=5 & ((X( loc=51 & ((X( loc=94 & ((X( loc=98 & ((X( loc=1398 & (X( loc=1403 ))))))))))))))))))))]",7,0.0,0.632,13.632,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=18 & ((X( loc=64 & ((X( loc=96 & ((X( loc=100 & ((X( loc=460 & ((X( loc=498 & (X( loc=281 )))))))))))))))))))))))]",8,0.0,0.925,13.455,actual_path,600
0,out/models/model_spotify100_model-it_1.prism, Pmax=? [F loc=1149] ,0,0.8441009176802644,5.352,9.793,reach_state,600
0,out/models/model_spotify100_model-it_1.prism, Pmax=? [F loc=1034] ,0,0.010990454894506774,7.554,10.229,reach_state,600
0,out/models/model_spotify100_model-it_1.prism, Pmax=? [F loc=476] ,0,0.010816451691344183,8.246,10.095,reach_state,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=47 & ((X( loc=93 & ((X( loc=97 & ((X( loc=101 & ((X( loc=1217 & (X( loc=1227 ))))))))))))))))))))]",7,0.0064591809741647,18.693,11.727,random_path,600
0,out/models/model_spotify100_model-it_1.prism, Pmax=? [F loc=1232] ,0,0.010986793885551979,8.419,10.363,reach_state,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=38 & ((X( loc=84 & ((X( loc=96 & ((X( loc=100 & ((X( loc=314 & (X( loc=376 ))))))))))))))))))))]",7,2.5425159352263174E-5,17.903,12.523,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=39 & ((X( loc=85 & ((X( loc=94 & ((X( loc=98 & ((X( loc=1337 & ((X( loc=1345 & (X( loc=281 )))))))))))))))))))))))]",8,1.807008071885281E-5,15.59,12.629,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=21 & ((X( loc=67 & ((X( loc=95 & ((X( loc=99 & ((X( loc=1162 & ((X( loc=1173 & (X( loc=281 )))))))))))))))))))))))]",8,0.006396808574473895,18.716,13.103,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (X( loc=1 ))]",1,0.648367934502251,14.465,12.793,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (X( loc=1 ))]",1,0.648367934502251,14.188,12.916,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=2 & ((X( loc=48 & ((X( loc=96 & ((X( loc=100 & ((X( loc=1367 & ((X( loc=1374 & ((X( loc=281 & (X( loc=283 ))))))))))))))))))))))))))]",9,2.4938824851750075E-5,17.019,12.125,random_path,600
0,out/models/model_spotify100_model-it_1.prism, Pmax=? [F loc=407] ,0,0.8441009176802644,4.513,10.363,reach_state,600
0,out/models/model_spotify100_model-it_1.prism, Pmax=? [F loc=1330] ,0,0.7392265139260469,3.329,9.262,reach_state,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=29 & ((X( loc=75 & ((X( loc=96 & ((X( loc=100 & ((X( loc=674 & ((X( loc=697 & (X( loc=280 )))))))))))))))))))))))]",8,1.1441321708518428E-5,16.581,13.286,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (X( loc=1 ))]",1,0.648367934502251,14.397,14.26,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=36 & ((X( loc=82 & ((X( loc=96 & ((X( loc=100 & ((X( loc=555 & ((X( loc=588 & (X( loc=280 )))))))))))))))))))))))]",8,1.2712579676131587E-5,16.9,13.689,random_path,600
