,model,query,nesting,value,model_parsing_time,model_checking_time,model_construction_time,name,timeout,solver
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=91)]",0,0.006453444125,0.1,0.024,0.217,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=174)]",0,0.02656508348,0.104,0.03,0.224,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=742)]",0,0.006975058443,0.16,0.038,0.334,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=98)]",0,0.539067185,0.1,0.024,0.217,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=190)]",0,0.494230512,0.097,0.022,0.211,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=578)]",0,0.006823101965,0.094,0.024,0.211,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=815)]",0,0.5623927595,0.098,0.022,0.207,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1539)]",0,0.5038685324,0.098,0.024,0.217,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=632)]",0,0.006693555618,0.104,0.026,0.214,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=93)]",0,0.006521798759,0.102,0.031,0.267,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=384)]",0,0.6036014725,0.12,0.029,0.342,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=730)]",0,0.4990496388,0.124,0.025,0.21,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=644)]",0,0.006843043516,0.165,0.025,0.207,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1024)]",0,0.494230512,0.114,0.022,0.225,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=413)]",0,0.03907265212,0.168,0.032,0.327,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=399)]",0,0.02642448944,0.097,0.027,0.203,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=800)]",0,0.5733600161,0.101,0.023,0.21,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=17)]",0,0.03241468061,0.16,0.02,0.247,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=265)]",0,0.02681295365,0.098,0.028,0.218,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=728)]",0,0.006693555618,0.1,0.027,0.224,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1439)]",0,0.006975058443,0.1,0.026,0.218,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1381)]",0,0.006975058443,0.099,0.026,0.215,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1518)]",0,0.006843043516,0.105,0.023,0.211,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=678)]",0,0.5038685324,0.101,0.023,0.221,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1031)]",0,0.006823101965,0.102,0.025,0.21,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1028)]",0,0.6016648388,0.102,0.024,0.213,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=206)]",0,0.6016648388,0.102,0.024,0.211,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1486)]",0,0.5733600161,0.152,0.024,0.238,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=834)]",0,0.6028268191,0.099,0.024,0.259,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=782)]",0,0.5733600161,0.1,0.024,0.209,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=976)]",0,0.01366205819,0.099,0.027,0.212,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=199)]",0,0.013681046,0.143,0.027,0.222,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=76)]",0,0.0389311425,0.102,0.022,0.214,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=310)]",0,0.6016648388,0.097,0.025,0.209,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=594)]",0,0.02626623115,0.1,0.031,0.214,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=307)]",0,0.05699286211,0.141,0.025,0.22,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=474)]",0,0.006823101965,0.099,0.024,0.208,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1281)]",0,0.494230512,0.109,0.022,0.213,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=330)]",0,0.01366205819,0.101,0.033,0.268,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=48)]",0,0.02589287785,0.175,0.022,0.22,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=288)]",0,0.006975058443,0.099,0.025,0.214,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1471)]",0,0.006843043516,0.101,0.025,0.24,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1027)]",0,0.01996908261,0.095,0.026,0.213,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1339)]",0,0.5733600161,0.098,0.024,0.223,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=441)]",0,0.006975058443,0.097,0.036,0.232,avoid_state,3600,storm
